start_time,total_pkts,total_bytes_MB,ave_rate_Mbps,std_rate_Mbps
200903292345,16861112,12267.78,114.42,13.13
200903300000,16080824,11682.93,108.90,13.00
200903300015,15712031,11697.34,108.97,13.27
200903300030,16034881,11709.92,109.23,14.45
200903300045,14590532,10388.29,96.74,11.76
200903300100,14842987,10445.75,97.40,16.15
200903300115,15006234,10540.36,98.22,16.79
200903300130,14990129,9940.78,92.59,9.85
200903300145,13849123,9919.54,92.44,10.60
200903300200,14128827,9848.27,91.87,10.03
200903300215,13388188,9808.58,91.42,12.81
200903300230,13740729,9664.25,90.06,10.14
200903300245,13872619,9517.67,88.72,9.38
200903300300,12992612,8820.23,86.85,15.26
200903300315,13264486,9487.88,88.46,10.37
200903300330,13769898,9241.88,86.11,9.05
200903300345,13121600,9195.72,85.72,11.34
200903300400,12244711,8610.56,80.26,7.94
200903300415,12175652,8165.18,76.12,8.09
200903300430,12328271,8703.04,82.25,11.87
200903300445,12424876,8608.17,80.26,11.61
200903300500,11952953,8368.44,77.96,10.50
200903300515,12421398,8567.68,79.82,9.33
200903300530,11813705,7948.10,74.13,9.81
200903300545,11007412,7735.26,72.06,12.01
200903300600,11473027,7708.49,71.87,10.31
200903300615,10804333,7741.83,72.21,9.37
200903300630,10741540,7650.01,71.29,8.58
200903300645,10764580,7818.37,72.84,10.96
200903300700,10386123,6844.44,63.81,9.25
200903300715,10836937,7528.90,70.14,9.80
200903300730,10408617,7012.25,65.34,9.68
200903300745,11077126,7472.01,69.65,8.50
200903300800,9414981,6353.24,59.22,8.43
200903300815,8958547,5932.76,55.30,7.46
200903300830,9181112,5946.49,55.44,7.52
200903300845,10023108,6284.71,58.58,11.52
200903300900,10657016,6978.49,65.06,10.45
200903300915,11785964,7967.06,74.20,9.61
200903300930,13930286,10696.04,99.69,14.38
200903300945,14973490,10260.16,96.11,19.30
200903301000,14495789,9379.05,87.50,16.23
200903301015,14136742,8623.96,80.38,10.64
200903301030,13539495,7757.81,72.23,9.66
200903301045,15444101,9470.39,88.32,10.65
200903301100,15268987,9883.86,92.06,10.23
200903301115,15062649,9313.12,86.79,10.64
200903301130,14133082,8210.86,76.54,10.72
200903301145,15739329,8672.35,80.82,12.92
200903301200,15486968,9286.32,86.59,12.16
200903301215,17133429,9709.54,90.45,12.82
200903301230,16759289,9559.45,89.18,12.43
200903301245,16625578,9410.90,87.71,13.46
200903301300,15682503,8573.46,79.86,10.76
200903301315,19313988,13411.06,125.13,39.98
200903301330,20798662,15035.25,140.02,18.31
200903301345,21478715,15256.53,142.23,20.28
200903301400,20557915,14486.27,135.01,21.08
200903301415,18828991,12503.32,116.51,27.18
200903301430,19318974,12294.00,114.67,12.66
200903301445,21045903,13273.01,123.65,12.54
200903301500,22726750,14450.75,134.73,13.05
200903301515,21448272,13952.69,130.10,13.49
200903301530,19859411,13684.63,127.52,11.89
