dataset,algorithm,quantity,rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff,res_sizes,n_leaking_rate,spectral_rads,n_nodes,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
longterm,cnn,datarate,327.4935614,13.6436131,4.699526072,5,1,64,3,10,10,96,,,,,,,,,,,,
longterm,cnn,datarate,327.0785284,10.78849816,4.735468149,5,1,64,3,10,20,96,,,,,,,,,,,,
longterm,cnn,datarate,325.7671034,9.946380854,4.855912924,5,1,64,3,10,30,96,,,,,,,,,,,,
longterm,cnn,datarate,328.0364763,9.257999897,4.741345882,5,1,64,3,10,50,96,,,,,,,,,,,,
longterm,cnn,datarate,323.5761531,19.88115287,4.869782209,5,1,64,3,20,10,96,,,,,,,,,,,,
longterm,cnn,datarate,325.4284939,14.15121698,4.960226774,5,1,64,3,20,20,96,,,,,,,,,,,,
longterm,cnn,datarate,326.1769006,12.24913406,4.820218086,5,1,64,3,20,30,96,,,,,,,,,,,,
longterm,cnn,datarate,325.6956491,10.66969204,4.948738098,5,1,64,3,20,50,96,,,,,,,,,,,,
longterm,cnn,datarate,324.5415556,38.10113692,4.898868084,5,1,64,3,50,10,96,,,,,,,,,,,,
longterm,cnn,datarate,322.9622543,23.35271406,4.93215704,5,1,64,3,50,20,96,,,,,,,,,,,,
longterm,cnn,datarate,326.0228778,18.67801619,4.939810991,5,1,64,3,50,30,96,,,,,,,,,,,,
longterm,cnn,datarate,324.9417691,14.70521402,4.979959965,5,1,64,3,50,50,96,,,,,,,,,,,,
longterm,cnn,datarate,178.9676053,14.69821811,5.06963706,10,1,64,3,10,10,96,,,,,,,,,,,,
longterm,cnn,datarate,177.1096445,11.75541806,5.073912859,10,1,64,3,10,20,96,,,,,,,,,,,,
longterm,cnn,datarate,181.6695228,10.81657505,5.131778002,10,1,64,3,10,30,96,,,,,,,,,,,,
longterm,cnn,datarate,182.5353566,10.06996393,5.108463049,10,1,64,3,10,50,96,,,,,,,,,,,,
longterm,cnn,datarate,176.168076,21.23267293,5.202629089,10,1,64,3,20,10,96,,,,,,,,,,,,
longterm,cnn,datarate,182.3525732,15.25349283,5.220289946,10,1,64,3,20,20,96,,,,,,,,,,,,
longterm,cnn,datarate,177.7739024,13.49729419,5.253805876,10,1,64,3,20,30,96,,,,,,,,,,,,
longterm,cnn,datarate,179.2732519,11.89377213,5.303503036,10,1,64,3,20,50,96,,,,,,,,,,,,
longterm,cnn,datarate,174.5086398,40.97842193,5.337502956,10,1,64,3,50,10,96,,,,,,,,,,,,
longterm,cnn,datarate,176.0178217,25.70053816,5.367115974,10,1,64,3,50,20,96,,,,,,,,,,,,
longterm,cnn,datarate,175.5902504,20.80129409,5.35343504,10,1,64,3,50,30,96,,,,,,,,,,,,
longterm,cnn,datarate,176.6308739,16.74021602,5.417278051,10,1,64,3,50,50,96,,,,,,,,,,,,
longterm,cnn,datarate,177.9257846,15.64170408,5.437623024,10,1,64,5,10,10,96,,,,,,,,,,,,
longterm,cnn,datarate,178.6898003,12.60009718,5.431550026,10,1,64,5,10,20,96,,,,,,,,,,,,
longterm,cnn,datarate,180.5681686,11.60432696,5.480032921,10,1,64,5,10,30,96,,,,,,,,,,,,
longterm,cnn,datarate,183.9870945,10.8643291,5.551759005,10,1,64,5,10,50,96,,,,,,,,,,,,
longterm,cnn,datarate,178.3169033,22.63187814,5.535516024,10,1,64,5,20,10,96,,,,,,,,,,,,
longterm,cnn,datarate,178.1844853,16.14912081,5.578383207,10,1,64,5,20,20,96,,,,,,,,,,,,
longterm,cnn,datarate,187.5736615,14.24814606,5.684411049,10,1,64,5,20,30,96,,,,,,,,,,,,
longterm,cnn,datarate,177.3915757,12.52384305,5.734609127,10,1,64,5,20,50,96,,,,,,,,,,,,
longterm,cnn,datarate,179.5616335,44.0125761,5.909328938,10,1,64,5,50,10,96,,,,,,,,,,,,
longterm,cnn,datarate,174.964788,27.32717109,6.064317942,10,1,64,5,50,20,96,,,,,,,,,,,,
longterm,cnn,datarate,177.5457023,22.79037595,6.023347139,10,1,64,5,50,30,96,,,,,,,,,,,,
longterm,cnn,datarate,175.5438934,18.22985601,6.042328835,10,1,64,5,50,50,96,,,,,,,,,,,,
longterm,cnn,datarate,178.3588589,17.55016494,6.034926891,20,1,64,3,10,10,96,,,,,,,,,,,,
longterm,cnn,datarate,175.472553,14.29429102,6.18818903,20,1,64,3,10,20,96,,,,,,,,,,,,
longterm,cnn,datarate,177.8204709,13.23169518,6.094718933,20,1,64,3,10,30,96,,,,,,,,,,,,
longterm,cnn,datarate,179.7541724,12.23381186,6.151928902,20,1,64,3,10,50,96,,,,,,,,,,,,
longterm,cnn,datarate,179.3853282,25.1959331,6.19643116,20,1,64,3,20,10,96,,,,,,,,,,,,
longterm,cnn,datarate,171.7765494,18.43797088,6.22780323,20,1,64,3,20,20,96,,,,,,,,,,,,
longterm,cnn,datarate,174.6836079,16.29326797,6.223114967,20,1,64,3,20,30,96,,,,,,,,,,,,
longterm,cnn,datarate,172.9899666,14.63523602,6.206423998,20,1,64,3,20,50,96,,,,,,,,,,,,
longterm,cnn,datarate,172.6217716,48.48586917,6.334836006,20,1,64,3,50,10,96,,,,,,,,,,,,
longterm,cnn,datarate,171.2127713,31.08383799,6.346889019,20,1,64,3,50,20,96,,,,,,,,,,,,
longterm,cnn,datarate,174.2867554,25.3687849,6.315440893,20,1,64,3,50,30,96,,,,,,,,,,,,
longterm,cnn,datarate,170.77599,20.59996104,6.383790016,20,1,64,3,50,50,96,,,,,,,,,,,,
longterm,cnn,datarate,176.0996512,18.4839139,6.282411098,20,1,64,5,10,10,96,,,,,,,,,,,,
longterm,cnn,datarate,174.5373303,14.93245101,6.412204027,20,1,64,5,10,20,96,,,,,,,,,,,,
longterm,cnn,datarate,180.9768835,13.89132285,6.410058975,20,1,64,5,10,30,96,,,,,,,,,,,,
longterm,cnn,datarate,178.0768844,12.92696786,6.478663921,20,1,64,5,10,50,96,,,,,,,,,,,,
longterm,cnn,datarate,172.7414132,26.4520669,6.521907091,20,1,64,5,20,10,96,,,,,,,,,,,,
longterm,cnn,datarate,176.2124479,19.32288098,6.518763065,20,1,64,5,20,20,96,,,,,,,,,,,,
longterm,cnn,datarate,174.7739187,17.22997999,6.446919918,20,1,64,5,20,30,96,,,,,,,,,,,,
longterm,cnn,datarate,175.6530768,15.14011002,6.566381931,20,1,64,5,20,50,96,,,,,,,,,,,,
longterm,cnn,datarate,187.3992941,49.78135109,6.726942778,20,1,64,5,50,10,96,,,,,,,,,,,,
longterm,cnn,datarate,171.5987365,32.29172516,6.678534985,20,1,64,5,50,20,96,,,,,,,,,,,,
longterm,cnn,datarate,180.8513943,26.50816894,6.69631815,20,1,64,5,50,30,96,,,,,,,,,,,,
longterm,cnn,datarate,175.9410551,21.45499897,6.818503141,20,1,64,5,50,50,96,,,,,,,,,,,,
longterm,cnn,datarate,179.4224487,20.40663719,6.733510971,50,1,64,3,10,10,96,,,,,,,,,,,,
longterm,cnn,datarate,171.2202899,16.68790221,6.810781956,50,1,64,3,10,20,96,,,,,,,,,,,,
longterm,cnn,datarate,179.167067,15.75547099,6.803527117,50,1,64,3,10,30,96,,,,,,,,,,,,
longterm,cnn,datarate,178.3982844,14.45986605,6.981213093,50,1,64,3,10,50,96,,,,,,,,,,,,
longterm,cnn,datarate,203.5304167,29.94065714,6.940725088,50,1,64,3,20,10,96,,,,,,,,,,,,
longterm,cnn,datarate,170.395211,22.43754697,6.915840864,50,1,64,3,20,20,96,,,,,,,,,,,,
longterm,cnn,datarate,175.133029,19.93228316,6.912003994,50,1,64,3,20,30,96,,,,,,,,,,,,
longterm,cnn,datarate,174.2038818,17.22495914,6.913171053,50,1,64,3,20,50,96,,,,,,,,,,,,
longterm,cnn,datarate,172.3784342,57.3713882,7.005908966,50,1,64,3,50,10,96,,,,,,,,,,,,
longterm,cnn,datarate,177.016863,38.2978189,7.014961958,50,1,64,3,50,20,96,,,,,,,,,,,,
longterm,cnn,datarate,178.618645,32.74685383,7.019779921,50,1,64,3,50,30,96,,,,,,,,,,,,
longterm,cnn,datarate,174.7060498,26.15253997,7.147833109,50,1,64,3,50,50,96,,,,,,,,,,,,
longterm,cnn,datarate,177.8172044,21.44767284,7.059752941,50,1,64,5,10,10,96,,,,,,,,,,,,
longterm,cnn,datarate,176.5603381,17.67293096,7.095105886,50,1,64,5,10,20,96,,,,,,,,,,,,
longterm,cnn,datarate,176.7852958,16.62962103,7.159909964,50,1,64,5,10,30,96,,,,,,,,,,,,
longterm,cnn,datarate,180.7152247,15.27009797,7.184288025,50,1,64,5,10,50,96,,,,,,,,,,,,
longterm,cnn,datarate,174.0575073,30.92208099,7.256592989,50,1,64,5,20,10,96,,,,,,,,,,,,
longterm,cnn,datarate,184.275174,23.69937706,7.209760904,50,1,64,5,20,20,96,,,,,,,,,,,,
longterm,cnn,datarate,174.4321309,21.09310913,7.229398966,50,1,64,5,20,30,96,,,,,,,,,,,,
longterm,cnn,datarate,181.7947519,18.18156791,7.291959047,50,1,64,5,20,50,96,,,,,,,,,,,,
longterm,cnn,datarate,181.98426,59.27992582,7.446055889,50,1,64,5,50,10,96,,,,,,,,,,,,
longterm,cnn,datarate,184.2479238,40.27205014,7.468924999,50,1,64,5,50,20,96,,,,,,,,,,,,
longterm,cnn,datarate,192.6727709,34.13482213,7.437351942,50,1,64,5,50,30,96,,,,,,,,,,,,
longterm,cnn,datarate,173.6599846,27.63302994,7.403419018,50,1,64,5,50,50,96,,,,,,,,,,,,
longterm,cnn,packetrate,33834639.46,22.61668181,7.808805943,5,1,64,3,10,10,96,,,,,,,,,,,,
longterm,cnn,packetrate,33254355.96,17.71003318,7.872826099,5,1,64,3,10,20,96,,,,,,,,,,,,
longterm,cnn,packetrate,34061818.69,16.60581803,7.969325066,5,1,64,3,10,30,96,,,,,,,,,,,,
