date,start_time,end_time,duration,total_pkts,ave_rate,std_rate
2007-1-1,14:00:00,14:15:00,899.63,6948502,36.21,3.91
2007-1-2,14:00:00,14:15:00,899.55,9034366,51.77,9.21
2007-1-3,14:00:00,14:15:00,900.19,8350321,41.18,6.48
2007-1-4,14:00:00,14:15:01,900.92,10444144,58.86,8.48
2007-1-5,14:00:00,14:15:00,899.88,10162231,60.12,7.24
2007-1-6,14:00:00,14:15:00,900.31,10858939,67.79,9.48
2007-1-7,14:00:00,14:15:01,900.88,7524267,43.9,5.15
2007-1-8,14:00:01,14:15:00,899.87,11245904,71.79,8.34
2007-1-9,14:00:00,14:15:00,899.78,16703680,104.03,13.21
2007-1-10,14:00:01,14:15:00,899.47,14431719,86.36,11.36
2007-1-11,14:00:01,14:15:00,899.21,17929601,116.56,14.92
2007-1-12,14:00:01,14:15:00,899.06,18031672,111.62,19.76
2007-1-13,14:00:00,14:15:01,900.16,12635699,75.53,9.8
2007-1-14,14:00:00,14:15:00,899.64,10361629,61.96,7.25
2007-1-15,14:00:00,14:15:00,899.75,19032375,127.72,12.38
2007-1-16,14:00:01,14:15:01,900.02,17030445,100.59,12.68
2007-1-17,14:00:01,14:15:00,899.26,19968791,127.13,15.76
2007-1-18,14:00:00,14:15:00,899.69,16182714,99.92,11.9
2007-1-19,14:00:00,14:15:00,899.94,20724008,143.65,4.83
2007-1-20,14:00:00,14:15:01,900.22,12271318,72.39,7.91
2007-1-21,14:00:01,14:15:00,899.45,11013844,68.48,7.93
2007-1-22,14:00:00,14:15:01,900.27,20732068,118.56,16.57
2007-1-23,14:00:00,14:15:00,900.11,20356592,123.23,13.42
2007-1-24,14:00:00,14:15:00,900,18787582,117.83,19.13
2007-1-25,14:00:00,14:15:01,900.43,19582794,126.39,15.35
2007-1-26,14:00:01,14:15:01,900.01,18795196,114.79,15.1
2007-1-27,14:00:01,14:15:00,899.61,13885932,87.11,12.02
2007-1-28,14:00:01,14:15:01,899.71,12832951,75.94,8.5
2007-1-29,14:00:00,14:15:01,900.89,23213896,143.47,14.03
2007-1-30,14:00:00,14:15:00,899.85,19760221,114.54,16.67
2007-1-31,14:00:00,14:15:01,900.32,19703026,122.95,13.04
2007-2-1,14:00:00,14:15:01,900.47,20074663,123.11,11.37
2007-2-2,14:00:01,14:15:00,899.38,15895723,97.92,11.7
2007-2-3,14:00:01,14:15:00,899.65,12431834,71.47,10.45
2007-2-4,14:00:00,14:15:00,899.79,9564702,57.31,7.47
2007-2-5,14:00:00,14:15:00,899.84,19543470,103.6,13.76
2007-2-6,14:00:00,14:15:01,900.73,16431149,99.27,10.15
2007-2-7,14:00:00,14:15:00,900.09,19917914,110.56,11.2
2007-2-8,14:00:01,14:15:01,899.88,16242612,89.45,12.17
2007-2-9,14:00:00,14:15:00,900.1,16258686,93.17,10.69
2007-2-10,14:00:00,14:15:01,900.33,14487390,94.3,8.68
2007-2-11,14:00:00,14:15:01,900.66,10863649,64.07,7.77
2007-2-12,14:00:00,14:15:00,900.27,12998767,87.11,10.66
2007-2-13,14:00:00,14:15:00,899.8,17480326,112.92,21.33
2007-2-14,14:00:01,14:15:00,899.51,17766110,117.97,13.32
2007-2-15,14:00:01,14:15:01,899.82,16909182,110.64,17.31
2007-2-16,14:00:00,14:15:00,899.98,16022892,110.55,12.32
2007-2-17,14:00:00,14:15:00,900.14,13043675,76.75,13.87
2007-2-18,14:00:00,14:15:01,900.23,9470964,51.6,8.14
2007-2-19,14:00:01,14:15:00,899.67,14242217,80.03,17.64
2007-2-20,14:00:01,14:15:01,900.17,16227413,104.26,18.03
2007-2-21,14:00:00,14:15:00,899.95,17315204,101.06,11.09
2007-2-22,14:00:00,14:15:00,900.09,17638506,105.35,15.71
2007-2-23,14:00:00,14:15:01,900.21,15956155,96.24,14.26
2007-2-24,14:00:01,14:15:00,899.62,13394790,79.67,11.06
2007-2-25,14:00:00,14:15:00,899.8,15999928,110.84,12.46
2007-2-26,14:00:00,14:15:00,900.12,18633085,116.14,16.35
2007-2-27,14:00:00,14:15:00,899.72,17805767,109.87,13.51
