rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff
33834639.46181758,22.616681814193726,7.8088059425354,5,1,64,3,10,10,96
33254355.96252477,17.710033178329468,7.872826099395752,5,1,64,3,10,20,96
34061818.68823176,16.605818033218384,7.969325065612793,5,1,64,3,10,30,96
33956342.23070137,15.694430112838745,7.996868848800659,5,1,64,3,10,50,96
33638500.3380964,29.5974600315094,7.8299150466918945,5,1,64,3,20,10,96
34082673.56064191,21.82216191291809,7.951258182525635,5,1,64,3,20,20,96
33625579.49765795,19.306391954421997,7.950541973114014,5,1,64,3,20,30,96
33822475.72004506,17.025840044021606,7.8222410678863525,5,1,64,3,20,50,96
34456630.49024129,53.41843295097351,7.997021913528442,5,1,64,3,50,10,96
33613744.59437513,33.89406991004944,7.865428924560547,5,1,64,3,50,20,96
33179906.399307415,27.6768798828125,7.936754941940308,5,1,64,3,50,30,96
33699245.61109811,22.39969301223755,8.030759811401367,5,1,64,3,50,50,96
20509860.056218114,22.351433992385864,7.965304851531982,10,1,64,3,10,10,96
20504129.47082082,18.45915913581848,8.102640867233276,10,1,64,3,10,20,96
20905405.20316131,17.0148708820343,8.03888201713562,10,1,64,3,10,30,96
21709342.522859387,16.20007014274597,8.155755043029785,10,1,64,3,10,50,96
19868938.93388132,31.207195043563843,8.126625061035156,10,1,64,3,20,10,96
20548797.851840712,23.23994016647339,8.272304058074951,10,1,64,3,20,20,96
20439312.852138262,20.476500034332275,8.298207998275757,10,1,64,3,20,30,96
20657813.393305574,18.44788908958435,8.224802017211914,10,1,64,3,20,50,96
20042239.494948372,56.96256995201111,8.344176054000854,10,1,64,3,50,10,96
20216683.010823708,36.62275695800781,8.35529088973999,10,1,64,3,50,20,96
20341486.94816741,30.198879957199097,8.417297840118408,10,1,64,3,50,30,96
20131745.052860178,24.75579595565796,8.37227201461792,10,1,64,3,50,50,96
19350290.465226177,23.28284502029419,8.537532091140747,10,1,64,5,10,10,96
20124889.891681384,19.22066593170166,8.553037166595459,10,1,64,5,10,20,96
20556827.714072242,17.930169105529785,8.481477975845337,10,1,64,5,10,30,96
21126158.84308751,16.941590070724487,8.502952098846436,10,1,64,5,10,50,96
19858791.41725257,32.33345913887024,8.5918710231781,10,1,64,5,20,10,96
20114261.11725272,24.070673942565918,8.677637100219727,10,1,64,5,20,20,96
19627720.031706434,21.359948873519897,8.706199169158936,10,1,64,5,20,30,96
19906819.502049536,19.13531994819641,8.819017887115479,10,1,64,5,20,50,96
19235242.80742686,59.393232107162476,8.729938983917236,10,1,64,5,50,10,96
19306797.169877317,37.85263204574585,8.756531000137329,10,1,64,5,50,20,96
19699119.928505376,31.84783411026001,8.804900884628296,10,1,64,5,50,30,96
19210940.724670842,25.38492703437805,9.017730951309204,10,1,64,5,50,50,96
18917230.254106082,24.876667022705078,8.971422910690308,20,1,64,3,10,10,96
20009745.839221317,20.724926948547363,8.991302013397217,20,1,64,3,10,20,96
19303700.051670115,19.408809900283813,8.981467962265015,20,1,64,3,10,30,96
19642097.618666146,18.52137589454651,8.98603081703186,20,1,64,3,10,50,96
18658601.466187604,35.3015570640564,9.14297604560852,20,1,64,3,20,10,96
18654808.126098927,26.269917964935303,9.147471904754639,20,1,64,3,20,20,96
18489712.009186637,23.600910186767578,9.31888484954834,20,1,64,3,20,30,96
18724744.37544837,21.168347120285034,9.289785146713257,20,1,64,3,20,50,96
18668330.358105227,64.55392289161682,9.288817882537842,20,1,64,3,50,10,96
18409167.132092368,41.98417401313782,9.267581939697266,20,1,64,3,50,20,96
