rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff
15.127713764424541,0.38621997833251953,0.036405086517333984,5,1,64,3,10,10,96
14.928964160365032,0.3261690139770508,0.04394793510437012,5,1,64,3,10,20,96
15.324024111312605,0.3279380798339844,0.056214094161987305,5,1,64,3,10,30,96
15.228601823914264,0.4168510437011719,0.06648397445678711,5,1,64,3,10,50,96
15.506263977100051,0.5599257946014404,0.07909011840820312,5,1,64,3,20,10,96
15.542086587556598,0.4754371643066406,0.08410286903381348,5,1,64,3,20,20,96
15.482417896555688,0.4691901206970215,0.09535384178161621,5,1,64,3,20,30,96
15.01949538648578,0.46660399436950684,0.11222696304321289,5,1,64,3,20,50,96
15.713417690527626,1.1199719905853271,0.12261104583740234,5,1,64,3,50,10,96
15.687569186619887,0.8101100921630859,0.13712191581726074,5,1,64,3,50,20,96
15.66669028762322,0.7450239658355713,0.15767884254455566,5,1,64,3,50,30,96
15.630573009664213,0.71197509765625,0.17153310775756836,5,1,64,3,50,50,96
14.095107074013995,0.7721710205078125,0.19618606567382812,10,1,64,3,10,10,96
14.273035068938261,0.8051497936248779,0.21227002143859863,10,1,64,3,10,20,96
15.037974357532637,0.7304608821868896,0.23015904426574707,10,1,64,3,10,30,96
14.65261830926118,0.766510009765625,0.23674988746643066,10,1,64,3,10,50,96
13.906251713021305,1.009080171585083,0.2556929588317871,10,1,64,3,20,10,96
13.90870395119985,0.9345440864562988,0.2933211326599121,10,1,64,3,20,20,96
13.885523663565571,0.9152131080627441,0.29297494888305664,10,1,64,3,20,30,96
14.066480417916035,1.0397820472717285,0.2991330623626709,10,1,64,3,20,50,96
13.589738654702103,1.6150338649749756,0.3159518241882324,10,1,64,3,50,10,96
13.6096051721529,1.2877390384674072,0.32624101638793945,10,1,64,3,50,20,96
13.571831280610194,1.2466750144958496,0.342426061630249,10,1,64,3,50,30,96
13.686429441655038,1.1675901412963867,0.35723090171813965,10,1,64,3,50,50,96
14.16115374142847,1.1717369556427002,0.3717930316925049,10,1,64,5,10,10,96
13.6535582395671,1.113234043121338,0.3852550983428955,10,1,64,5,10,20,96
13.877176199717512,1.3051369190216064,0.42418408393859863,10,1,64,5,10,30,96
15.333523436512028,1.1692581176757812,0.41779112815856934,10,1,64,5,10,50,96
13.755484015249705,1.4367380142211914,0.43526601791381836,10,1,64,5,20,10,96
13.967276783287662,1.345318078994751,0.4528219699859619,10,1,64,5,20,20,96
13.932299858709701,1.3617730140686035,0.4664011001586914,10,1,64,5,20,30,96
14.108822442686417,1.3333168029785156,0.5007710456848145,10,1,64,5,20,50,96
14.05353593872478,2.0503392219543457,0.5167360305786133,10,1,64,5,50,10,96
13.86250691991531,1.7390120029449463,0.5177159309387207,10,1,64,5,50,20,96
13.741471345292126,1.678847074508667,0.5628859996795654,10,1,64,5,50,30,96
13.886930866749786,1.6026301383972168,0.5496139526367188,10,1,64,5,50,50,96
