rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff
1832727.46358943,3.594888925552368,1.452876091003418,5,1,64,3,10,10,96
1797080.8711706456,3.5219810009002686,1.535033941268921,5,1,64,3,10,20,96
1813008.0254133933,3.54469895362854,1.4754209518432617,5,1,64,3,10,30,96
1846900.405381904,3.551229953765869,1.5519218444824219,5,1,64,3,10,50,96
1832013.2808169927,3.9852938652038574,1.5052571296691895,5,1,64,3,20,10,96
1818078.9983533933,3.888544797897339,1.5201640129089355,5,1,64,3,20,20,96
1782847.411293888,3.7991058826446533,1.5965189933776855,5,1,64,3,20,30,96
1828412.207576095,3.7804880142211914,1.5950379371643066,5,1,64,3,20,50,96
1851247.7507370336,4.865729808807373,1.5842390060424805,5,1,64,3,50,10,96
1846255.3731972515,4.4061431884765625,1.5975069999694824,5,1,64,3,50,20,96
1832093.0330673784,4.219749927520752,1.6322791576385498,5,1,64,3,50,30,96
1821461.843217669,4.109911918640137,1.6659879684448242,5,1,64,3,50,50,96
1618506.6366767762,4.223183870315552,1.678476095199585,10,1,64,3,10,10,96
1707931.3658211557,4.113023996353149,1.7438011169433594,10,1,64,3,10,20,96
1781715.8015699594,4.16654109954834,1.7245619297027588,10,1,64,3,10,30,96
1674079.8495727896,4.649284839630127,1.7907519340515137,10,1,64,3,10,50,96
1657960.7073197565,4.656567811965942,1.7914319038391113,10,1,64,3,20,10,96
1694121.663519232,4.482650995254517,1.8401341438293457,10,1,64,3,20,20,96
1681480.5367337868,4.454700946807861,1.8342490196228027,10,1,64,3,20,30,96
1717482.200606362,4.410516023635864,1.841101884841919,10,1,64,3,20,50,96
1678722.2239982004,5.591192007064819,1.8814048767089844,10,1,64,3,50,10,96
1656220.046438957,5.026767015457153,1.8563499450683594,10,1,64,3,50,20,96
1694239.2055551563,4.899305105209351,1.934678077697754,10,1,64,3,50,30,96
1635825.7549187473,4.764997959136963,1.917323112487793,10,1,64,3,50,50,96
1618909.1683042424,4.756425142288208,1.9259400367736816,10,1,64,5,10,10,96
1674345.0680927348,4.743687152862549,2.0031979084014893,10,1,64,5,10,20,96
1723680.5189650068,4.73487114906311,2.0304861068725586,10,1,64,5,10,30,96
1730601.204413423,4.7588300704956055,2.075127124786377,10,1,64,5,10,50,96
1624429.747104477,5.169987916946411,2.04409122467041,10,1,64,5,20,10,96
1721003.4537423893,5.002914905548096,2.0549509525299072,10,1,64,5,20,20,96
1599150.1149272122,5.081583023071289,2.0854549407958984,10,1,64,5,20,30,96
1671289.1180740455,4.967641115188599,2.107357978820801,10,1,64,5,20,50,96
1696392.0072592697,6.256566047668457,2.1043028831481934,10,1,64,5,50,10,96
1694891.2138193517,5.679818868637085,2.1531691551208496,10,1,64,5,50,20,96
1693289.035794476,5.455088138580322,2.198913097381592,10,1,64,5,50,30,96
1697569.5895906652,5.361269950866699,2.20151686668396,10,1,64,5,50,50,96
1788942.1302863853,5.380738973617554,2.2345190048217773,20,1,64,3,10,10,96
1904001.1494745708,5.277404069900513,2.2362890243530273,20,1,64,3,10,20,96
2036895.164751072,5.311925888061523,2.276059865951538,20,1,64,3,10,30,96
1955280.108085359,5.395143032073975,2.28117299079895,20,1,64,3,10,50,96
1762221.0233242009,5.922749042510986,2.3288190364837646,20,1,64,3,20,10,96
1845228.4555219652,5.665812969207764,2.319788932800293,20,1,64,3,20,20,96
1883779.574587373,6.389016151428223,2.405979871749878,20,1,64,3,20,30,96
1929087.2576261044,5.768028020858765,2.428825855255127,20,1,64,3,20,50,96
1784091.8582941054,7.157294988632202,2.415734052658081,20,1,64,3,50,10,96
1800624.3177024077,6.512531042098999,2.55464506149292,20,1,64,3,50,20,96
1762745.697880766,6.365735054016113,2.573498010635376,20,1,64,3,50,30,96
1757314.8695708655,6.255146026611328,2.5111119747161865,20,1,64,3,50,50,96
1780475.177482223,6.0946550369262695,2.5220630168914795,20,1,64,5,10,10,96
1930473.940206844,6.01267409324646,2.6173758506774902,20,1,64,5,10,20,96
2036125.9414605324,6.050375938415527,2.5658819675445557,20,1,64,5,10,30,96
2036462.3047272202,6.045609951019287,2.6216390132904053,20,1,64,5,10,50,96
1759372.5874958094,6.651612043380737,2.6549999713897705,20,1,64,5,20,10,96
1820741.943268672,6.3958258628845215,2.651344060897827,20,1,64,5,20,20,96
1904760.0418459089,6.447813987731934,2.6647958755493164,20,1,64,5,20,30,96
1862216.0710035742,6.341732978820801,2.6978189945220947,20,1,64,5,20,50,96
1795988.6824000636,7.746481895446777,2.7103819847106934,20,1,64,5,50,10,96
