rmse,train_time,predict_time,n_ins,n_outs,res_sizes,n_leaking_rate,spectral_rads
176.0458762674018,0.04957079887390137,0.0157318115234375,5,1,50,0.1,0.1
168.71328452680498,0.06475400924682617,0.015413999557495117,5,1,50,0.1,0.3
166.55593056624053,0.11420583724975586,0.015465021133422852,5,1,50,0.1,0.5
175.36296579010826,0.06511998176574707,0.01559591293334961,5,1,50,0.1,0.7
169.33440768162447,0.06473493576049805,0.015529155731201172,5,1,50,0.1,0.9
201.57280645529988,0.06564807891845703,0.015609025955200195,5,1,50,0.2,0.1
162.73561349673756,0.0924370288848877,0.015500068664550781,5,1,50,0.2,0.3
194.6985932269578,0.0648810863494873,0.01553487777709961,5,1,50,0.2,0.5
144.24599297114392,0.06492114067077637,0.015484094619750977,5,1,50,0.2,0.7
162.7909135681241,0.06479907035827637,0.018023014068603516,5,1,50,0.2,0.9
181.95516700256084,0.06991887092590332,0.016455888748168945,5,1,50,0.3,0.1
180.2878617886495,0.07345700263977051,0.017654895782470703,5,1,50,0.3,0.3
157.2530876388907,0.07300209999084473,0.017470121383666992,5,1,50,0.3,0.5
154.23837465379833,0.07223892211914062,0.017359018325805664,5,1,50,0.3,0.7
168.54222584968926,0.07224202156066895,0.01743793487548828,5,1,50,0.3,0.9
197.87601901868462,0.07279610633850098,0.017626047134399414,5,1,50,0.5,0.1
153.88263599445483,0.07266592979431152,0.017249107360839844,5,1,50,0.5,0.3
150.70145381843574,0.0730440616607666,0.01753997802734375,5,1,50,0.5,0.5
149.98796814054145,0.07192301750183105,0.017573118209838867,5,1,50,0.5,0.7
159.94570019495436,0.07345795631408691,0.017633914947509766,5,1,50,0.5,0.9
193.05109083150475,0.07314586639404297,0.017508983612060547,5,1,50,0.8,0.1
149.42274838891106,0.0732121467590332,0.017461061477661133,5,1,50,0.8,0.3
136.6227996136366,0.0850369930267334,0.01948404312133789,5,1,50,0.8,0.5
143.44762574876924,0.06666994094848633,0.01567697525024414,5,1,50,0.8,0.7
144.57518494160152,0.06523299217224121,0.01564192771911621,5,1,50,0.8,0.9
702.9459617935912,0.09131097793579102,0.02095794677734375,5,1,100,0.1,0.1
181.80215379399684,0.09035491943359375,0.02172398567199707,5,1,100,0.1,0.3
200.6648062612481,0.15259194374084473,0.02160787582397461,5,1,100,0.1,0.5
222.2437237615346,0.14188289642333984,0.021098852157592773,5,1,100,0.1,0.7
193.1598137135281,0.11044192314147949,0.02157115936279297,5,1,100,0.1,0.9
516.5342400500048,0.20418000221252441,0.0210568904876709,5,1,100,0.2,0.1
190.12333031862005,0.11194705963134766,0.020895004272460938,5,1,100,0.2,0.3
195.8608443210583,0.08981800079345703,0.021060943603515625,5,1,100,0.2,0.5
198.0273527838939,0.11777520179748535,0.021164894104003906,5,1,100,0.2,0.7
220.71235666639618,0.0897369384765625,0.021172046661376953,5,1,100,0.2,0.9
299.95425529510516,0.16088294982910156,0.02124500274658203,5,1,100,0.3,0.1
249.27772820324688,0.13060903549194336,0.021155118942260742,5,1,100,0.3,0.3
194.87516500858382,0.10016608238220215,0.02115607261657715,5,1,100,0.3,0.5
184.0392273260185,0.10880112648010254,0.02123403549194336,5,1,100,0.3,0.7
201.27436215417393,0.09070205688476562,0.02125382423400879,5,1,100,0.3,0.9
237.09988584171805,0.15804386138916016,0.021904945373535156,5,1,100,0.5,0.1
204.25911691195859,0.12866997718811035,0.02157902717590332,5,1,100,0.5,0.3
163.0733983756591,0.20810985565185547,0.021324872970581055,5,1,100,0.5,0.5
194.26856832400517,0.0901029109954834,0.021255970001220703,5,1,100,0.5,0.7
166.7711469818228,0.09184503555297852,0.02123117446899414,5,1,100,0.5,0.9
249.8861713794652,0.09054398536682129,0.021528959274291992,5,1,100,0.8,0.1
184.8171291241628,0.09296298027038574,0.021300077438354492,5,1,100,0.8,0.3
181.86503137407556,0.12581992149353027,0.020999908447265625,5,1,100,0.8,0.5
170.12847201689752,0.09048795700073242,0.0211029052734375,5,1,100,0.8,0.7
141.86287003000254,0.09031105041503906,0.021073102951049805,5,1,100,0.8,0.9
827.1898477797181,0.15331816673278809,0.030025005340576172,5,1,200,0.1,0.1
373.78729427599694,0.19324779510498047,0.03128480911254883,5,1,200,0.1,0.3
299.60528790160976,0.16056489944458008,0.03147602081298828,5,1,200,0.1,0.5
346.93779055198684,0.1532890796661377,0.05503082275390625,5,1,200,0.1,0.7
248.36441132288692,0.19186806678771973,0.03226804733276367,5,1,200,0.1,0.9
1126.8659693182033,0.17453598976135254,0.05484509468078613,5,1,200,0.2,0.1
317.15228236669685,0.16390490531921387,0.031114816665649414,5,1,200,0.2,0.3
309.41440877107027,0.17196917533874512,0.0315709114074707,5,1,200,0.2,0.5
317.7514273532849,0.20399689674377441,0.0326380729675293,5,1,200,0.2,0.7
374.5473328221644,0.3160738945007324,0.031272172927856445,5,1,200,0.2,0.9
490.91549068813043,0.15707182884216309,0.03120589256286621,5,1,200,0.3,0.1
327.4243146845903,0.25667810440063477,0.06157493591308594,5,1,200,0.3,0.3
287.5013102707898,0.14000701904296875,0.031174898147583008,5,1,200,0.3,0.5
278.07980924357037,0.1318650245666504,0.03156113624572754,5,1,200,0.3,0.7
276.21248586622994,0.15888500213623047,0.030965089797973633,5,1,200,0.3,0.9
895.5329080795234,0.13728809356689453,0.03119802474975586,5,1,200,0.5,0.1
292.10150653953457,0.15136003494262695,0.03148293495178223,5,1,200,0.5,0.3
289.3331697426175,0.1517798900604248,0.03146815299987793,5,1,200,0.5,0.5
260.3643246030328,0.2214977741241455,0.03303885459899902,5,1,200,0.5,0.7
232.255165865929,0.15772604942321777,0.03188896179199219,5,1,200,0.5,0.9
327.91504263105315,0.22496485710144043,0.03159904479980469,5,1,200,0.8,0.1
196.30237307722942,0.13413405418395996,0.03167414665222168,5,1,200,0.8,0.3
194.05302244459207,0.13315892219543457,0.031133174896240234,5,1,200,0.8,0.5
180.94691546249365,0.2583909034729004,0.03150200843811035,5,1,200,0.8,0.7
157.53567982231453,0.16024303436279297,0.03517603874206543,5,1,200,0.8,0.9
2493.405994840696,0.2627389430999756,0.05011487007141113,5,1,400,0.1,0.1
1269.9340051837592,0.3951151371002197,0.04795098304748535,5,1,400,0.1,0.3
745.7948027814666,0.25870800018310547,0.0513920783996582,5,1,400,0.1,0.5
976.7123083347265,0.3909449577331543,0.04836893081665039,5,1,400,0.1,0.7
691.9996663041417,0.44479990005493164,0.04645395278930664,5,1,400,0.1,0.9
2285.001033070248,0.2856919765472412,0.0479280948638916,5,1,400,0.2,0.1
986.0590559242868,0.36138081550598145,0.04728198051452637,5,1,400,0.2,0.3
991.5873120262285,0.3144240379333496,0.07572507858276367,5,1,400,0.2,0.5
628.0994576847364,0.25933003425598145,0.04774904251098633,5,1,400,0.2,0.7
880.7322393887799,0.3795168399810791,0.04612112045288086,5,1,400,0.2,0.9
1620.2706147593601,0.3071610927581787,0.048089027404785156,5,1,400,0.3,0.1
800.1169359276278,0.35010790824890137,0.047857046127319336,5,1,400,0.3,0.3
923.0237149699739,0.2833290100097656,0.0477750301361084,5,1,400,0.3,0.5
721.0750472313366,0.4871180057525635,0.09672188758850098,5,1,400,0.3,0.7
518.0447183918443,0.3133828639984131,0.04808497428894043,5,1,400,0.3,0.9
2295.0356668963145,0.2696089744567871,0.047785043716430664,5,1,400,0.5,0.1
608.7193588564027,0.2767519950866699,0.049031972885131836,5,1,400,0.5,0.3
611.3683067675482,0.3824019432067871,0.08455419540405273,5,1,400,0.5,0.5
565.7340276107466,0.3230130672454834,0.049809932708740234,5,1,400,0.5,0.7
