rmse,train_time,predict_time,n_ins,n_outs,res_sizes,n_leaking_rate,spectral_rads
16871557.518103197,0.0518491268157959,0.015623092651367188,5,1,50,0.1,0.1
15759116.504166098,0.06489300727844238,0.015465974807739258,5,1,50,0.1,0.3
14386683.97145486,0.06519722938537598,0.015448808670043945,5,1,50,0.1,0.5
14248488.852378441,0.06599688529968262,0.015501976013183594,5,1,50,0.1,0.7
14389955.989305982,0.06512117385864258,0.015396833419799805,5,1,50,0.1,0.9
16628489.398784269,0.09103107452392578,0.015486955642700195,5,1,50,0.2,0.1
15953442.356856607,0.06575298309326172,0.015450000762939453,5,1,50,0.2,0.3
14568924.225266038,0.06542611122131348,0.01546788215637207,5,1,50,0.2,0.5
14397296.543397913,0.0881500244140625,0.015501976013183594,5,1,50,0.2,0.7
14039077.37109771,0.0724489688873291,0.015601158142089844,5,1,50,0.2,0.9
16978267.778740305,0.06590795516967773,0.015616893768310547,5,1,50,0.3,0.1
15633443.338293858,0.06623721122741699,0.015547990798950195,5,1,50,0.3,0.3
14636527.748399936,0.06531310081481934,0.015780925750732422,5,1,50,0.3,0.5
13708611.307377715,0.06717395782470703,0.015522003173828125,5,1,50,0.3,0.7
14267949.052540455,0.10525107383728027,0.030977964401245117,5,1,50,0.3,0.9
16450543.83080513,0.06814193725585938,0.015494108200073242,5,1,50,0.5,0.1
16164206.859450415,0.06629705429077148,0.01561594009399414,5,1,50,0.5,0.3
13926148.013941823,0.06728005409240723,0.015635013580322266,5,1,50,0.5,0.5
14260130.88180853,0.10166597366333008,0.015758991241455078,5,1,50,0.5,0.7
13403988.479499605,0.07747888565063477,0.015612125396728516,5,1,50,0.5,0.9
17368836.191594295,0.08995890617370605,0.015810012817382812,5,1,50,0.8,0.1
15797767.146587305,0.06629705429077148,0.015740156173706055,5,1,50,0.8,0.3
14206736.649773372,0.06613898277282715,0.015563011169433594,5,1,50,0.8,0.5
13981617.755506331,0.06622600555419922,0.015527963638305664,5,1,50,0.8,0.7
13357223.859748695,0.06606507301330566,0.015731096267700195,5,1,50,0.8,0.9
17346379.09531352,0.09125018119812012,0.020907878875732422,5,1,100,0.1,0.1
15289666.805281373,0.1498429775238037,0.021888017654418945,5,1,100,0.1,0.3
14596170.339592377,0.18082189559936523,0.02124500274658203,5,1,100,0.1,0.5
13877737.029043624,0.11475396156311035,0.020921945571899414,5,1,100,0.1,0.7
13402144.638234774,0.12852978706359863,0.021467924118041992,5,1,100,0.1,0.9
17104826.09929631,0.15440607070922852,0.020940065383911133,5,1,100,0.2,0.1
14753881.622395866,0.12264704704284668,0.04054689407348633,5,1,100,0.2,0.3
13883169.219712239,0.15462899208068848,0.02304697036743164,5,1,100,0.2,0.5
14159874.83853503,0.10297513008117676,0.022851943969726562,5,1,100,0.2,0.7
13811068.833934432,0.09886288642883301,0.022917985916137695,5,1,100,0.2,0.9
20579595.727914926,0.14220595359802246,0.023020029067993164,5,1,100,0.3,0.1
14462915.699726183,0.09968280792236328,0.022864818572998047,5,1,100,0.3,0.3
14022832.776469823,0.12029480934143066,0.023031949996948242,5,1,100,0.3,0.5
13338073.42331922,0.10007309913635254,0.023118972778320312,5,1,100,0.3,0.7
12717745.938330509,0.1004948616027832,0.023062944412231445,5,1,100,0.3,0.9
17099169.114241347,0.09892392158508301,0.02286815643310547,5,1,100,0.5,0.1
14353131.319253989,0.140733003616333,0.02313399314880371,5,1,100,0.5,0.3
13269906.829908544,0.12194490432739258,0.022660017013549805,5,1,100,0.5,0.5
12909090.044069186,0.11444902420043945,0.04099702835083008,5,1,100,0.5,0.7
12923896.827383025,0.21465015411376953,0.021376848220825195,5,1,100,0.5,0.9
17270642.712146148,0.0909261703491211,0.021014928817749023,5,1,100,0.8,0.1
14428316.291687591,0.09058380126953125,0.021029949188232422,5,1,100,0.8,0.3
14095339.054381693,0.1500859260559082,0.02090001106262207,5,1,100,0.8,0.5
12891207.369827062,0.13124489784240723,0.04095816612243652,5,1,100,0.8,0.7
12883831.441237742,0.11609888076782227,0.02130913734436035,5,1,100,0.8,0.9
24248115.45448484,0.3055448532104492,0.028730154037475586,5,1,200,0.1,0.1
14988338.011689428,0.1300368309020996,0.02891087532043457,5,1,200,0.1,0.3
13894488.571829606,0.1319749355316162,0.029867172241210938,5,1,200,0.1,0.5
13895052.803140275,0.22055411338806152,0.028564929962158203,5,1,200,0.1,0.7
13522210.643487163,0.18747282028198242,0.05979013442993164,5,1,200,0.1,0.9
22067991.75609302,0.25513386726379395,0.028838157653808594,5,1,200,0.2,0.1
20211417.451455012,0.1319139003753662,0.02902507781982422,5,1,200,0.2,0.3
16533136.684448212,0.2983109951019287,0.02965402603149414,5,1,200,0.2,0.5
13599967.020099496,0.23781609535217285,0.02845001220703125,5,1,200,0.2,0.7
14470986.313815271,0.30525994300842285,0.05822110176086426,5,1,200,0.2,0.9
28770140.909706693,0.2102200984954834,0.028304100036621094,5,1,200,0.3,0.1
18656168.370732676,0.14873695373535156,0.028187990188598633,5,1,200,0.3,0.3
14243975.589063251,0.17185616493225098,0.028566837310791016,5,1,200,0.3,0.5
14628522.363485659,0.13004493713378906,0.028623104095458984,5,1,200,0.3,0.7
13875848.32247708,0.19839096069335938,0.028638124465942383,5,1,200,0.3,0.9
20419074.84223489,0.31404995918273926,0.02871394157409668,5,1,200,0.5,0.1
14452683.071112515,0.21881389617919922,0.030323028564453125,5,1,200,0.5,0.3
13168599.1317841,0.19562697410583496,0.0298769474029541,5,1,200,0.5,0.5
13365473.095826011,0.13114500045776367,0.028676986694335938,5,1,200,0.5,0.7
13731457.338956267,0.1546461582183838,0.028373003005981445,5,1,200,0.5,0.9
23738317.65373189,0.1440448760986328,0.028573036193847656,5,1,200,0.8,0.1
16883653.385024548,0.12972187995910645,0.02857208251953125,5,1,200,0.8,0.3
13706214.605841817,0.1962130069732666,0.030210018157958984,5,1,200,0.8,0.5
14396932.985910686,0.24842000007629395,0.030290842056274414,5,1,200,0.8,0.7
13697041.324614808,0.17586016654968262,0.029291868209838867,5,1,200,0.8,0.9
40998234.264227875,0.23974108695983887,0.04669809341430664,5,1,400,0.1,0.1
33331079.4657763,0.2762269973754883,0.0472869873046875,5,1,400,0.1,0.3
29361149.585732713,0.2965388298034668,0.04567384719848633,5,1,400,0.1,0.5
35991202.43303046,0.23725605010986328,0.0456089973449707,5,1,400,0.1,0.7
24705256.311447196,0.24199581146240234,0.04584503173828125,5,1,400,0.1,0.9
41967671.60944659,0.26248812675476074,0.04712104797363281,5,1,400,0.2,0.1
42859389.297456004,0.37261390686035156,0.04417681694030762,5,1,400,0.2,0.3
28217195.455483146,0.29190611839294434,0.04568290710449219,5,1,400,0.2,0.5
36441890.104412735,0.34636688232421875,0.04539608955383301,5,1,400,0.2,0.7
47929317.783233605,0.25124382972717285,0.044342994689941406,5,1,400,0.2,0.9
91137071.35655938,0.308696985244751,0.045976877212524414,5,1,400,0.3,0.1
49915225.17416056,0.2683711051940918,0.04599499702453613,5,1,400,0.3,0.3
19920950.62031539,0.2897329330444336,0.04703998565673828,5,1,400,0.3,0.5
26921554.880534653,0.4798901081085205,0.045645952224731445,5,1,400,0.3,0.7
19248190.662459567,0.23624706268310547,0.04554295539855957,5,1,400,0.3,0.9
120071567.61420885,0.2631490230560303,0.04550909996032715,5,1,400,0.5,0.1
19645881.70811856,0.21106290817260742,0.047106027603149414,5,1,400,0.5,0.3
