rmse,train_time,predict_time,n_ins,n_outs,n_epochs,n_batch,n_diff
260.28417848828997,46.70188021659851,15.18929409980774,5,1,50,10,10,96
261.4066931407578,39.866008043289185,15.415507793426514,5,1,50,10,20,96
266.6216007302436,37.12297296524048,15.804702997207642,5,1,50,10,30,96
264.1182485035248,35.85091018676758,15.803431987762451,5,1,50,10,50,96
265.04483424803743,63.93326210975647,15.898977041244507,5,1,50,20,10,96
264.8910102093147,48.99724888801575,15.836737155914307,5,1,50,20,20,96
261.8224357547933,44.08233690261841,16.196063995361328,5,1,50,20,30,96
260.3295178692562,40.40683197975159,16.317051887512207,5,1,50,20,50,96
260.14295730828974,112.95806789398193,16.198094844818115,5,1,50,50,10,96
264.3327687781768,74.47719812393188,16.287524938583374,5,1,50,50,20,96
271.8218719663047,61.7894229888916,16.908769130706787,5,1,50,50,30,96
269.70923412658993,52.073482036590576,16.77400302886963,5,1,50,50,50,96
267.41942213961283,55.737345933914185,17.176388025283813,5,1,100,10,10,96
257.0040575209095,45.65883803367615,17.095267057418823,5,1,100,10,20,96
257.08909605739785,42.890296936035156,17.293522834777832,5,1,100,10,30,96
251.27955846588858,40.608866930007935,17.204893827438354,5,1,100,10,50,96
259.57697394807985,77.62923192977905,17.419806957244873,5,1,100,20,10,96
259.1266496640759,57.5337278842926,17.57762598991394,5,1,100,20,20,96
260.372836861861,50.592000007629395,17.66359806060791,5,1,100,20,30,96
259.66248811176865,46.92222809791565,17.982292890548706,5,1,100,20,50,96
259.7560713973782,141.7949481010437,18.169476985931396,5,1,100,50,10,96
265.17502761076685,94.94467806816101,19.265390872955322,5,1,100,50,20,96
266.08107962794776,80.1676709651947,19.00366497039795,5,1,100,50,30,96
272.2664160214248,64.24225401878357,19.273625135421753,5,1,100,50,50,96
266.9877126200775,67.16928195953369,20.160969972610474,10,1,50,10,10,96
280.5013211336777,54.176472902297974,20.570433855056763,10,1,50,10,20,96
268.8393738986373,50.52939200401306,20.677233934402466,10,1,50,10,30,96
265.6316579201414,47.2230589389801,20.36487603187561,10,1,50,10,50,96
269.7938997574883,92.28812408447266,20.635933876037598,10,1,50,20,10,96
260.69331519948713,67.76341390609741,20.433137893676758,10,1,50,20,20,96
253.92200400192647,59.53605389595032,20.49512004852295,10,1,50,20,30,96
256.90932450414783,52.93060302734375,20.505532026290894,10,1,50,20,50,96
247.71731615363115,169.6231918334961,20.968436002731323,10,1,50,50,10,96
264.3569206062421,107.18829488754272,20.818222999572754,10,1,50,50,20,96
251.54130322077168,88.43248105049133,21.032652854919434,10,1,50,50,30,96
263.6940499258082,72.07423496246338,21.266956090927124,10,1,50,50,50,96
276.39841578038624,74.90727400779724,21.345040798187256,10,1,100,10,10,96
266.8511479950681,59.429917097091675,21.384960889816284,10,1,100,10,20,96
252.75997504276998,54.924565076828,21.921164989471436,10,1,100,10,30,96
258.23732202467096,50.9462730884552,21.895542860031128,10,1,100,10,50,96
269.66312133428164,107.66830086708069,21.76141595840454,10,1,100,20,10,96
267.81204845919024,77.44601607322693,21.32306218147278,10,1,100,20,20,96
267.3286361884891,67.1462881565094,21.450130224227905,10,1,100,20,30,96
292.32583737328366,57.12699604034424,21.60439705848694,10,1,100,20,50,96
270.31935763675233,197.8894441127777,21.9254310131073,10,1,100,50,10,96
256.43588998633544,128.28607082366943,21.965044021606445,10,1,100,50,20,96
259.85127231179933,102.81956887245178,22.185610055923462,10,1,100,50,30,96
253.35693636359815,82.28071284294128,22.30747389793396,10,1,100,50,50,96
325.86775524749,85.15630316734314,22.98524808883667,20,1,50,10,10,96
281.9320214989132,66.68990898132324,22.892160892486572,20,1,50,10,20,96
296.5785577768229,60.123876094818115,23.13629698753357,20,1,50,10,30,96
278.2676339569494,55.6325798034668,23.27029299736023,20,1,50,10,50,96
284.35946964681665,125.52837085723877,23.804001808166504,20,1,50,20,10,96
289.7561400443368,87.76919293403625,23.762677907943726,20,1,50,20,20,96
313.7739942023019,75.80183696746826,23.964793920516968,20,1,50,20,30,96
294.18366581548827,65.37432098388672,23.863346815109253,20,1,50,20,50,96
305.2347017801828,247.916738986969,23.850127935409546,20,1,50,50,10,96
272.0105002316911,153.8240101337433,24.50904107093811,20,1,50,50,20,96
303.85378803169954,120.29655003547668,24.44141411781311,20,1,50,50,30,96
317.6300018691221,94.30428695678711,24.459568977355957,20,1,50,50,50,96
299.6725333789457,96.39363408088684,24.82087278366089,20,1,100,10,10,96
318.16686218328795,72.7904999256134,25.31286907196045,20,1,100,10,20,96
400.6542752894537,65.45855808258057,24.88666009902954,20,1,100,10,30,96
349.95651101418576,60.66135096549988,25.50722098350525,20,1,100,10,50,96
277.0055983122457,141.16603994369507,25.498270988464355,20,1,100,20,10,96
298.9595831672274,108.1080801486969,26.99598217010498,20,1,100,20,20,96
279.8286359138967,88.89982604980469,26.731493949890137,20,1,100,20,30,96
313.8948441365247,76.76860117912292,26.746638774871826,20,1,100,20,50,96
336.1854168926846,300.54849576950073,26.919936180114746,20,1,100,50,10,96
317.3173838708721,181.76808214187622,26.938951015472412,20,1,100,50,20,96
316.9023542419248,135.57612586021423,27.469714879989624,20,1,100,50,30,96
303.80433401923494,106.35229516029358,26.408148050308228,20,1,100,50,50,96
