rmse,train_time,predict_time,n_ins,n_outs,n_epochs,n_batch,n_diff
27923330.65361588,73.30160689353943,25.717144012451172,5,1,50,10,10,96
27911594.749314807,63.26898980140686,25.562002182006836,5,1,50,10,20,96
27872653.02882444,60.196979999542236,25.794867992401123,5,1,50,10,30,96
27803895.216689836,57.713258028030396,26.137367963790894,5,1,50,10,50,96
27597533.579585023,76.4062340259552,26.61996293067932,5,1,50,20,20,96
28779041.019412894,69.4778311252594,26.814013957977295,5,1,50,20,30,96
27690883.877401765,64.27670383453369,26.747575998306274,5,1,50,20,50,96
27726921.263465934,161.489972114563,26.885061979293823,5,1,50,50,10,96
28311049.712431174,93.1768491268158,27.205904006958008,5,1,50,50,30,96
28063915.27740512,82.2340919971466,27.771958827972412,5,1,100,10,10,96
28040568.07166882,70.45570993423462,27.703583002090454,5,1,100,10,20,96
27733811.995906457,66.19347095489502,27.8385808467865,5,1,100,10,30,96
27518595.945815783,63.3657660484314,27.918626070022583,5,1,100,10,50,96
27281108.77422775,85.92606806755066,28.145645141601562,5,1,100,20,20,96
28935499.838807266,78.5901358127594,28.52418279647827,5,1,100,20,30,96
27436764.43833725,71.53156805038452,28.788190126419067,5,1,100,20,50,96
26941355.741650015,89.17009401321411,29.51651406288147,10,1,50,10,10,96
27941058.81369889,75.4936101436615,29.739112854003906,10,1,50,10,20,96
27871517.188463934,71.36433792114258,29.85678791999817,10,1,50,10,30,96
27970746.83003871,67.24950504302979,29.93705105781555,10,1,50,10,50,96
27125746.480178498,92.46883082389832,30.061814069747925,10,1,50,20,20,96
25948357.355125617,214.01536512374878,31.016626119613647,10,1,50,50,10,96
27290815.510514226,99.44498896598816,31.666540145874023,10,1,50,50,50,96
27549169.329758294,101.52326512336731,31.455549955368042,10,1,100,10,10,96
28030932.703349963,82.6108090877533,31.44327688217163,10,1,100,10,20,96
28403090.27359838,77.07784986495972,31.781721115112305,10,1,100,10,30,96
26614273.145564303,140.14580702781677,32.06995105743408,10,1,100,20,10,96
27680246.47437347,93.95668005943298,32.46220302581787,10,1,100,20,30,96
27506479.11025227,141.1022400856018,34.842490911483765,10,1,100,50,30,96
27954961.044933412,116.37230086326599,35.222561836242676,20,1,50,10,10,96
28247453.5373714,94.4951560497284,35.29919910430908,20,1,50,10,20,96
29151385.548625987,86.17659497261047,35.24314904212952,20,1,50,10,30,96
28671697.448235203,106.48588395118713,35.8201379776001,20,1,50,20,30,96
27741091.823520154,128.53254008293152,36.39771604537964,20,1,100,10,10,96
27364429.759819392,92.41201400756836,37.204118967056274,20,1,100,10,30,96
28471123.40219585,86.30967807769775,37.58385491371155,20,1,100,10,50,96
27609102.435990293,132.88125491142273,37.958086013793945,20,1,100,20,20,96
