rmse,train_time,predict_time,n_ins,n_outs,n_epochs,n_batch,n_diff
13.17669552124181,1.715130090713501,0.12185382843017578,5,1,50,10,10,96
12.914779990644837,1.4790701866149902,0.1589200496673584,5,1,50,10,20,96
13.169625145688904,1.6530449390411377,0.214860200881958,5,1,50,10,30,96
14.171513679735833,1.6208381652832031,0.3235750198364258,5,1,50,10,50,96
12.699640805569597,2.7132070064544678,0.30966782569885254,5,1,50,20,10,96
12.743263165248068,2.4176712036132812,0.3693661689758301,5,1,50,20,20,96
12.845422192625579,2.2968831062316895,0.47959399223327637,5,1,50,20,30,96
13.479454156435244,2.438027858734131,0.47205495834350586,5,1,50,20,50,96
16.310353204993273,5.061158895492554,0.5255579948425293,5,1,50,50,10,96
16.14823061004091,3.989037036895752,0.6443140506744385,5,1,50,50,20,96
15.082710871334488,3.3864519596099854,0.7194299697875977,5,1,50,50,30,96
13.000100383719474,3.1736209392547607,0.7461869716644287,5,1,50,50,50,96
12.760040484024726,3.3310389518737793,0.9007828235626221,5,1,100,10,10,96
12.90353667348551,3.127488136291504,0.955592155456543,5,1,100,10,20,96
13.355689048982947,3.1053359508514404,0.9240899085998535,5,1,100,10,30,96
13.701384212405443,3.1883339881896973,0.9700989723205566,5,1,100,10,50,96
14.157855773743766,4.82530403137207,1.1516330242156982,5,1,100,20,10,96
13.027533003753504,4.011286973953247,1.0957489013671875,5,1,100,20,20,96
12.89604490729813,4.164805173873901,1.170454978942871,5,1,100,20,30,96
12.919319460942006,4.0776190757751465,1.2184360027313232,5,1,100,20,50,96
16.669658923283187,7.239128828048706,1.321181058883667,5,1,100,50,10,96
15.525358926520953,6.157104969024658,1.3583571910858154,5,1,100,50,20,96
15.768777677354601,5.40707802772522,1.5168800354003906,5,1,100,50,30,96
13.73280773313142,5.071892976760864,1.5468790531158447,5,1,100,50,50,96
13.925844015557054,5.321447849273682,1.623270034790039,10,1,50,10,10,96
13.964188171589258,5.078933000564575,1.6697850227355957,10,1,50,10,20,96
14.920443752212366,4.984169006347656,1.7355201244354248,10,1,50,10,30,96
13.69772799677068,5.658385992050171,1.8307011127471924,10,1,50,10,50,96
17.115041097687744,7.11354398727417,1.8950951099395752,10,1,50,20,10,96
14.822736947102028,6.247260093688965,1.927112102508545,10,1,50,20,20,96
15.899021399208964,6.0972161293029785,2.0183920860290527,10,1,50,20,30,96
14.844368338738398,5.977695941925049,2.061499834060669,10,1,50,20,50,96
13.789696258085392,10.813440084457397,2.1952171325683594,10,1,50,50,10,96
17.070392551354264,8.41751503944397,2.207021951675415,10,1,50,50,20,96
17.637844072517606,8.414557933807373,2.3617539405822754,10,1,50,50,30,96
17.44213665396766,7.360683917999268,2.441230058670044,10,1,50,50,50,96
14.034946582955175,7.586688041687012,2.518589973449707,10,1,100,10,10,96
14.10712074369351,7.175791025161743,2.5585811138153076,10,1,100,10,20,96
14.39695546475155,7.328917980194092,2.587498903274536,10,1,100,10,30,96
13.593295419361176,7.177502155303955,2.744420051574707,10,1,100,10,50,96
15.941262229986467,9.494793176651001,2.7832231521606445,10,1,100,20,10,96
17.23253211164015,8.474483013153076,2.8433268070220947,10,1,100,20,20,96
15.724292084722794,8.341832160949707,2.9334089756011963,10,1,100,20,30,96
14.149756798793174,9.294238090515137,3.082690954208374,10,1,100,20,50,96
19.669131816645777,13.896907091140747,3.1700758934020996,10,1,100,50,10,96
17.075491117417155,11.347527980804443,3.15598201751709,10,1,100,50,20,96
17.887601227710103,10.610082864761353,3.3309240341186523,10,1,100,50,30,96
18.557788691516592,10.049239873886108,3.3235809803009033,10,1,100,50,50,96
17.49663679840112,10.258517980575562,3.5121099948883057,20,1,50,10,10,96
16.056660860989826,9.83274221420288,3.5817768573760986,20,1,50,10,20,96
15.36845398215651,9.842675924301147,3.7156059741973877,20,1,50,10,30,96
18.848843194744486,9.544420003890991,3.763580799102783,20,1,50,10,50,96
17.816444161719243,13.804449081420898,4.23465895652771,20,1,50,20,10,96
14.937438397002317,12.523839235305786,4.212274074554443,20,1,50,20,20,96
15.020418310347237,11.960680961608887,4.340246915817261,20,1,50,20,30,96
17.362016708307287,13.039371967315674,4.475481033325195,20,1,50,20,50,96
16.046450060376973,21.092349767684937,4.5966410636901855,20,1,50,50,10,96
22.54989945161718,16.652987003326416,4.626394033432007,20,1,50,50,20,96
16.833207366732772,15.218847036361694,4.727971076965332,20,1,50,50,30,96
15.532774189308935,14.238104104995728,4.8087358474731445,20,1,50,50,50,96
15.495124688918608,14.16068696975708,4.92339301109314,20,1,100,10,10,96
14.361323294944654,13.274240016937256,4.970876932144165,20,1,100,10,20,96
16.82698848107424,13.16913914680481,5.093350887298584,20,1,100,10,30,96
15.264723615530722,13.02325701713562,5.122697830200195,20,1,100,10,50,96
17.54695287678756,17.369704961776733,5.324589014053345,20,1,100,20,10,96
15.203655211824211,15.353737115859985,5.34058403968811,20,1,100,20,20,96
16.236342118766768,15.171962022781372,5.678136110305786,20,1,100,20,30,96
14.996801792257347,14.581358909606934,5.583866834640503,20,1,100,20,50,96
19.37167111819764,23.637407064437866,5.3701348304748535,20,1,100,50,10,96
20.015609360459656,20.231465101242065,5.509948015213013,20,1,100,50,20,96
19.939261683181634,18.02312994003296,5.7099449634552,20,1,100,50,30,96
20.09061442967263,15.935678005218506,5.589372158050537,20,1,100,50,50,96
