rmse,train_time,predict_time,n_ins,n_outs,n_epochs,n_batch,n_diff
1659243.8953132362,14.284289121627808,5.641525030136108,5,1,50,10,10,96
1786787.482704502,14.391891956329346,5.641464948654175,5,1,50,10,20,96
1728451.8809741656,14.326891899108887,5.848188877105713,5,1,50,10,30,96
1795177.1897722653,14.734759092330933,5.830544948577881,5,1,50,10,50,96
1702030.1933819046,15.901733875274658,6.214188098907471,5,1,50,20,10,96
1675135.7861575468,15.606165170669556,6.157064914703369,5,1,50,20,20,96
1688210.8340891476,15.616226196289062,6.354223012924194,5,1,50,20,30,96
1755906.409265031,15.57310700416565,6.358940839767456,5,1,50,20,50,96
1833345.142105285,19.40742301940918,6.429721832275391,5,1,50,50,10,96
1935197.9642173853,17.77177405357361,6.5302979946136475,5,1,50,50,20,96
1711758.4713300425,17.406211137771606,6.708378076553345,5,1,50,50,30,96
1743070.432940358,16.903584003448486,6.647954940795898,5,1,50,50,50,96
1651738.1536118544,17.33847689628601,6.887838840484619,5,1,100,10,10,96
1649327.3833317868,17.21435809135437,6.950700044631958,5,1,100,10,20,96
1717255.7664104253,19.205694913864136,7.2077460289001465,5,1,100,10,30,96
1711576.841496793,17.84751796722412,7.32365608215332,5,1,100,10,50,96
1631995.8368102666,19.605483055114746,7.323848009109497,5,1,100,20,10,96
1614082.59666527,18.691653966903687,7.598239183425903,5,1,100,20,20,96
1658445.0390182685,18.927523851394653,7.444962978363037,5,1,100,20,30,96
1659475.710238952,18.79274010658264,7.742530107498169,5,1,100,20,50,96
1833519.4259152554,23.53146719932556,7.823958873748779,5,1,100,50,10,96
1741942.904067838,21.28322410583496,7.923696994781494,5,1,100,50,20,96
1861904.2513973361,21.07458806037903,8.107827186584473,5,1,100,50,30,96
1532056.5422036843,20.139501810073853,8.076471090316772,5,1,100,50,50,96
1747636.7446746354,20.396219968795776,8.115049123764038,10,1,50,10,10,96
1719915.0165069797,19.990861892700195,8.152256965637207,10,1,50,10,20,96
1914820.5817944878,19.986032009124756,8.256237983703613,10,1,50,10,30,96
2192990.782423881,20.32957100868225,8.333805799484253,10,1,50,10,50,96
1632673.777238927,22.543715000152588,8.47982907295227,10,1,50,20,10,96
1623741.0904461094,21.72698998451233,8.604156017303467,10,1,50,20,20,96
1739523.7814091078,21.4723060131073,8.51354694366455,10,1,50,20,30,96
1799360.5955737408,21.134001970291138,8.677851915359497,10,1,50,20,50,96
1848150.4171298991,26.620628118515015,8.726611137390137,10,1,50,50,10,96
1780473.9596630177,24.13608694076538,8.859880924224854,10,1,50,50,20,96
1741977.330619233,23.264317989349365,8.971743106842041,10,1,50,50,30,96
1676501.6932794997,22.819982051849365,9.012226819992065,10,1,50,50,50,96
1820136.6140466728,24.17776584625244,9.359436988830566,10,1,100,10,10,96
1642513.0564269274,23.020315170288086,9.50147294998169,10,1,100,10,20,96
1863401.702514115,23.375272035598755,9.791874170303345,10,1,100,10,30,96
1727985.8800458494,22.877052068710327,9.577431917190552,10,1,100,10,50,96
1722253.9088092498,25.72739315032959,9.557167053222656,10,1,100,20,10,96
1787246.224367996,24.652256965637207,9.96964693069458,10,1,100,20,20,96
1719860.665762712,24.3588969707489,9.937067031860352,10,1,100,20,30,96
1737790.4245847203,24.073643922805786,10.126859903335571,10,1,100,20,50,96
1658871.1348530801,30.893479108810425,10.071615934371948,10,1,100,50,10,96
1819683.693334366,27.800729990005493,10.29783296585083,10,1,100,50,20,96
1662707.2021500848,27.37463402748108,10.25091814994812,10,1,100,50,30,96
1741546.2564599172,26.314184188842773,10.350209951400757,10,1,100,50,50,96
2111888.8939651083,26.816570043563843,10.612098932266235,20,1,50,10,10,96
1745932.7399813533,26.074564218521118,10.819624900817871,20,1,50,10,20,96
2122943.221297184,26.122687101364136,10.780502796173096,20,1,50,10,30,96
1970228.710462612,26.07762122154236,11.022835969924927,20,1,50,10,50,96
1852525.5843750366,29.449782848358154,10.869742155075073,20,1,50,20,10,96
1750256.865661032,27.94682288169861,11.126629114151001,20,1,50,20,20,96
2101514.930628457,27.73509693145752,11.565144062042236,20,1,50,20,30,96
2021060.2178923395,27.702165126800537,11.508250951766968,20,1,50,20,50,96
2156585.126466029,36.06280493736267,11.665024995803833,20,1,50,50,10,96
1760313.4413081435,32.14992094039917,11.807554006576538,20,1,50,50,20,96
2285194.8505962696,31.13199210166931,11.690727949142456,20,1,50,50,30,96
2173143.0960590886,30.2067551612854,12.11202597618103,20,1,50,50,50,96
1849742.6601751556,30.413020849227905,11.89700198173523,20,1,100,10,10,96
1823143.2720750722,29.389441967010498,12.059919118881226,20,1,100,10,20,96
2095809.3242331399,29.507495164871216,12.140116930007935,20,1,100,10,30,96
1829262.976767838,30.570773124694824,12.64493703842163,20,1,100,10,50,96
1835208.2203944924,34.45021891593933,12.789005994796753,20,1,100,20,10,96
1874145.9814991064,32.47898888587952,12.910893201828003,20,1,100,20,20,96
1902818.580197744,31.55051302909851,12.866785049438477,20,1,100,20,30,96
2100075.8376444066,31.168524980545044,12.810419082641602,20,1,100,20,50,96
1925814.9193852819,41.347574949264526,12.950647830963135,20,1,100,50,10,96
1975417.6052541793,36.92743802070618,13.179440975189209,20,1,100,50,20,96
1790284.9870003092,35.16112184524536,13.178725004196167,20,1,100,50,30,96
2053612.5945749176,33.726146936416626,13.154331922531128,20,1,100,50,50,96
