rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
730.2627242035636,0.027493349032328505,0.011430111078463699,"(0, 0, 0)","(0, 0, 0, 0)",n
423.97605526879335,0.23285039379079148,0.011700554957452052,"(0, 0, 0)","(0, 0, 1, 0)",n
312.575942312091,0.3654224168363415,0.012041215229147553,"(0, 0, 0)","(0, 0, 2, 0)",n
203.60920607506102,0.10990707192698125,0.011421807437322035,"(0, 0, 0)","(1, 0, 0, 0)",n
202.12505369034733,0.27463550867417813,0.011721452642872948,"(0, 0, 0)","(1, 0, 1, 0)",n
175.4869041762263,0.49768059731661074,0.01184976341319961,"(0, 0, 0)","(1, 0, 2, 0)",n
205.26308616861843,0.14598364903550698,0.011363967599110812,"(0, 0, 0)","(2, 0, 0, 0)",n
183.13204347426552,0.766182051858868,0.011745674047323025,"(0, 0, 0)","(2, 0, 1, 0)",n
175.53089891795034,0.727705566908541,0.011982407575541686,"(0, 0, 0)","(2, 0, 2, 0)",n
434.5318401840414,0.05477731932100452,0.01599047644989629,"(0, 0, 0)","(0, 0, 0, 0)",c
280.70594653087835,0.5986573051303307,0.01665407680814659,"(0, 0, 0)","(0, 0, 1, 0)",c
235.91844849524816,0.897214476324061,0.017538385459112526,"(0, 0, 0)","(0, 0, 2, 0)",c
199.91021706404072,0.9656335558048488,0.01655166513979223,"(0, 0, 0)","(1, 0, 0, 0)",c
201.6499607798824,2.0005368340764886,0.016673478650311418,"(0, 0, 0)","(1, 0, 1, 0)",c
176.60315862412236,3.0260331757976493,0.017780417083704033,"(0, 0, 0)","(1, 0, 2, 0)",c
201.43448399063936,1.4598898785818515,0.01684085528055827,"(0, 0, 0)","(2, 0, 0, 0)",c
205.63510304896099,2.6785925130402917,0.017013260478226738,"(0, 0, 0)","(2, 0, 1, 0)",c
201.87565271092532,4.83740667063712,0.017650132218855273,"(0, 0, 0)","(2, 0, 2, 0)",c
237.1363774633457,0.09018997591726861,0.016047901671693558,"(0, 0, 0)","(0, 0, 0, 0)",t
185.7113406028989,0.6923716124832135,0.016737617207591645,"(0, 0, 0)","(0, 0, 1, 0)",t
181.28636356630287,1.0173762387652414,0.01770465993372147,"(0, 0, 0)","(0, 0, 2, 0)",t
186.06549510955477,0.6941512154231858,0.016071031102082058,"(0, 0, 0)","(1, 0, 0, 0)",t
187.3103657453869,1.8339529529585108,0.01643990932975941,"(0, 0, 0)","(1, 0, 1, 0)",t
175.23288405803027,2.37060093568596,0.018040680517646908,"(0, 0, 0)","(1, 0, 2, 0)",t
185.84787313383333,0.9419168846180148,0.016891630236081524,"(0, 0, 0)","(2, 0, 0, 0)",t
217.9840983687125,3.769947040406269,0.0171175322640126,"(0, 0, 0)","(2, 0, 1, 0)",t
175.14098835621138,3.331359882795938,0.01782803461927819,"(0, 0, 0)","(2, 0, 2, 0)",t
239.23509578587922,0.1447960032262836,0.027822483193973346,"(0, 0, 0)","(0, 0, 0, 0)",ct
186.7939774674115,0.904107470812181,0.028559459627452412,"(0, 0, 0)","(0, 0, 1, 0)",ct
181.98532188629787,1.2676594197962208,0.030396579989052045,"(0, 0, 0)","(0, 0, 2, 0)",ct
186.68802087134557,1.0926877335155845,0.0279311262698643,"(0, 0, 0)","(1, 0, 0, 0)",ct
186.2693236325766,2.197078383831508,0.02859675813541435,"(0, 0, 0)","(1, 0, 1, 0)",ct
178.16952054026333,2.833869408599564,0.030464808711801985,"(0, 0, 0)","(1, 0, 2, 0)",ct
186.61577917186105,1.4434464481236107,0.029020322458034167,"(0, 0, 0)","(2, 0, 0, 0)",ct
187.5988950434383,3.2328881465101866,0.028661954162525254,"(0, 0, 0)","(2, 0, 1, 0)",ct
181.66102399349472,3.52826803802454,0.030389804150003273,"(0, 0, 0)","(2, 0, 2, 0)",ct
423.97605526879335,0.22874776918268713,0.011586217552176009,"(0, 0, 1)","(0, 0, 0, 0)",n
348.4040994991939,0.27564451278740826,0.0119270930510823,"(0, 0, 1)","(0, 0, 1, 0)",n
290.3603231705922,0.6152162085224301,0.01246405100341652,"(0, 0, 1)","(0, 0, 2, 0)",n
202.53674344689045,0.6298177697621772,0.011665161818371973,"(0, 0, 1)","(1, 0, 0, 0)",n
176.59589389951952,1.0367970452472692,0.012022815706608276,"(0, 0, 1)","(1, 0, 1, 0)",n
177.89235862647723,1.468265799016715,0.013481534107158475,"(0, 0, 1)","(1, 0, 2, 0)",n
200.3083387473739,1.4381085992000846,0.012509214779094727,"(0, 0, 1)","(2, 0, 0, 0)",n
212.53871899750533,1.847671543576115,0.012707343163722209,"(0, 0, 1)","(2, 0, 1, 0)",n
207.45346882195088,2.1500777870169174,0.013562191989215384,"(0, 0, 1)","(2, 0, 2, 0)",n
282.21603151148855,0.6416670088241957,0.01670002315109452,"(0, 0, 1)","(0, 0, 0, 0)",c
252.9939148748056,0.9738616719930339,0.0176282966971256,"(0, 0, 1)","(0, 0, 1, 0)",c
229.18451106732834,2.1434442920616936,0.01879774152454815,"(0, 0, 1)","(0, 0, 2, 0)",c
203.57618065551384,1.9833920084001897,0.016755194567842132,"(0, 0, 1)","(1, 0, 0, 0)",c
175.47530123463264,2.8087889424139636,0.017422703237296,"(0, 0, 1)","(1, 0, 1, 0)",c
195.4054651605415,3.2102462922975263,0.018520218904615155,"(0, 0, 1)","(1, 0, 2, 0)",c
204.72669947024565,2.963187414839033,0.01660378632596379,"(0, 0, 1)","(2, 0, 0, 0)",c
209.25916641495635,3.872936515197211,0.017550645491123767,"(0, 0, 1)","(2, 0, 1, 0)",c
197.90826569623846,4.028611031574145,0.018171402907456367,"(0, 0, 1)","(2, 0, 2, 0)",c
185.71102609287522,0.759894417698273,0.016706275487426904,"(0, 0, 1)","(0, 0, 0, 0)",t
181.2421693531164,1.1493973525534886,0.018254823956201083,"(0, 0, 1)","(0, 0, 1, 0)",t
185.19979791477692,2.298234196320123,0.018345761270851146,"(0, 0, 1)","(0, 0, 2, 0)",t
