rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
101173381.08870544,0.026942766999576158,0.011101618921770886,"(0, 0, 0)","(0, 0, 0, 0)",n
57399727.15516118,0.10221943906193526,0.011392328662804437,"(0, 0, 0)","(0, 0, 1, 0)",n
39494385.42473691,0.2820424479239069,0.013811985086008888,"(0, 0, 0)","(0, 0, 2, 0)",n
19283134.083493434,0.11470192974855326,0.011119505971634799,"(0, 0, 0)","(1, 0, 0, 0)",n
19327629.70271456,0.14704715738941343,0.011278080346321296,"(0, 0, 0)","(1, 0, 1, 0)",n
17465307.993746255,0.30061569983141845,0.011660445203136294,"(0, 0, 0)","(1, 0, 2, 0)",n
20008002.912630998,0.19887322548021202,0.012058325085351476,"(0, 0, 0)","(2, 0, 0, 0)",n
17493131.848543134,0.3825278901544754,0.011440273140107468,"(0, 0, 0)","(2, 0, 1, 0)",n
17463864.47258902,0.6597339464959159,0.011837535057203625,"(0, 0, 0)","(2, 0, 2, 0)",n
42812537.85550686,0.05462124056380556,0.01588259416401457,"(0, 0, 0)","(0, 0, 0, 0)",c
27609561.049429797,0.3398962182082315,0.016374109761429285,"(0, 0, 0)","(0, 0, 1, 0)",c
22931056.765246496,0.3347849676193292,0.017208807267610995,"(0, 0, 0)","(0, 0, 2, 0)",c
19298960.665823653,0.1136112965440128,0.01592551120518224,"(0, 0, 0)","(1, 0, 0, 0)",c
18557003.135616276,0.2951673765623697,0.016347233510950705,"(0, 0, 0)","(1, 0, 1, 0)",c
19770285.80184932,0.6459311938370674,0.01715832446676415,"(0, 0, 0)","(1, 0, 2, 0)",c
19087604.3404971,0.20342640322439753,0.01630468074395846,"(0, 0, 0)","(2, 0, 0, 0)",c
17861263.728717726,1.6750111073644418,0.016380762855918947,"(0, 0, 0)","(2, 0, 1, 0)",c
17973882.11393378,1.6113638875040437,0.01727286606920996,"(0, 0, 0)","(2, 0, 2, 0)",c
32725689.645729773,0.05465822711958156,0.01591536583001079,"(0, 0, 0)","(0, 0, 0, 0)",t
