rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
17245801.4101521,0.003869031457340016,0.0020553953507367302,"(0, 0, 0)","(0, 0, 0, 0)",n
9060534.047318881,0.029912488600786994,0.002362355063943302,"(0, 0, 0)","(0, 0, 1, 0)",n
5443943.099969003,0.0735016289879294,0.002487005906946519,"(0, 0, 0)","(0, 0, 2, 0)",n
1068338.84834366,0.020473241806030273,0.0021047339719884534,"(0, 0, 0)","(1, 0, 0, 0)",n
1066456.1261672243,0.02538270669824937,0.002207178228041705,"(0, 0, 0)","(1, 0, 1, 0)",n
1074071.8579093937,0.03180785740123076,0.002183106366325827,"(0, 0, 0)","(1, 0, 2, 0)",n
1065021.051345798,0.027734467562507182,0.0022173460792092718,"(0, 0, 0)","(2, 0, 0, 0)",n
12438531.622232461,0.2134715669295367,0.0022507274852079503,"(0, 0, 0)","(2, 0, 1, 0)",n
1074693.3573087878,0.10021094714894015,0.0022486181820140167,"(0, 0, 0)","(2, 0, 2, 0)",n
3310029.2800105284,0.00673061539145077,0.0030609130859375,"(0, 0, 0)","(0, 0, 0, 0)",c
2103067.9965702556,0.030621082642499138,0.0033058867735021253,"(0, 0, 0)","(0, 0, 1, 0)",c
1616301.0244694748,0.041919834473553824,0.0032835820141960594,"(0, 0, 0)","(0, 0, 2, 0)",c
3026117.6384843686,0.01492321070502786,0.0032753691953771253,"(0, 0, 0)","(1, 0, 0, 0)",c
1996642.7113056132,0.05161458464229808,0.0033056034761316634,"(0, 0, 0)","(1, 0, 1, 0)",c
1566616.782199163,0.07724148806403665,0.0033490798052619487,"(0, 0, 0)","(1, 0, 2, 0)",c
2994060.989435314,0.03374409114613253,0.0032033415401683135,"(0, 0, 0)","(2, 0, 0, 0)",c
10650036.868563486,0.38483616885016947,0.0032906139598173254,"(0, 0, 0)","(2, 0, 1, 0)",c
1476292.277559129,0.13271530375761145,0.003406221726361443,"(0, 0, 0)","(2, 0, 2, 0)",c
7885523.309698218,0.006724405288696289,0.0030654234044692097,"(0, 0, 0)","(0, 0, 0, 0)",t
4394912.625563076,0.03829742599936092,0.0032547978793873505,"(0, 0, 0)","(0, 0, 1, 0)",t
2971415.4137859265,0.05501301428850959,0.0033164220697739547,"(0, 0, 0)","(0, 0, 2, 0)",t
9154440.276354115,0.05151846268597771,0.0032545734854305492,"(0, 0, 0)","(1, 0, 0, 0)",t
6466836.118831084,0.048954500871546125,0.0033164192648494945,"(0, 0, 0)","(1, 0, 1, 0)",t
4169007.994876325,0.08424452893874225,0.0033853362588321463,"(0, 0, 0)","(1, 0, 2, 0)",t
11358615.58820486,0.056856820162604835,0.003283063103170956,"(0, 0, 0)","(2, 0, 0, 0)",t
40134391.65998785,0.5003479480743408,0.0033328785615808825,"(0, 0, 0)","(2, 0, 1, 0)",t
4156532.993323136,0.11239695829503676,0.003426523769603056,"(0, 0, 0)","(2, 0, 2, 0)",t
3106274.0070737675,0.008272415048935835,0.003114010305965648,"(0, 0, 0)","(0, 0, 0, 0)",ct
2009172.9042843988,0.03615658984464758,0.0031641315011417164,"(0, 0, 0)","(0, 0, 1, 0)",ct
1559349.770604957,0.05058476504157571,0.0032814839306999654,"(0, 0, 0)","(0, 0, 2, 0)",ct
3474780.0581201813,0.04839630687938017,0.003130365820492015,"(0, 0, 0)","(1, 0, 0, 0)",ct
1968775.113135809,0.060094081654268154,0.0032348941354190604,"(0, 0, 0)","(1, 0, 1, 0)",ct
1538659.1295480707,0.09181156158447265,0.0033286122714771943,"(0, 0, 0)","(1, 0, 2, 0)",ct
3187396.400664769,0.06084399503820083,0.003187415179084329,"(0, 0, 0)","(2, 0, 0, 0)",ct
9683619.44569534,0.45713304351357853,0.0032793634078081917,"(0, 0, 0)","(2, 0, 1, 0)",ct
1462945.1062957246,0.14717678462757783,0.003311474183026482,"(0, 0, 0)","(2, 0, 2, 0)",ct
9060534.047318881,0.02827126839581658,0.002339940912583295,"(0, 0, 1)","(0, 0, 0, 0)",n
6276707.931690159,0.027520555608412798,0.002360240150900448,"(0, 0, 1)","(0, 0, 1, 0)",n
3805643.03122641,0.05236014197854435,0.0026169412276324105,"(0, 0, 1)","(0, 0, 2, 0)",n
1066493.2388649827,0.027242363200468175,0.002340400920194738,"(0, 0, 1)","(1, 0, 0, 0)",n
1078615.1056681126,0.041661770203534294,0.0022597144631778493,"(0, 0, 1)","(1, 0, 1, 0)",n
1073184.5097608576,0.049430221669814166,0.0022808327394373278,"(0, 0, 1)","(1, 0, 2, 0)",n
1063774.7987693876,0.0391757516299977,0.0022795873529770794,"(0, 0, 1)","(2, 0, 0, 0)",n
12659043.01093166,0.13334818447337432,0.0024383404675652,"(0, 0, 1)","(2, 0, 1, 0)",n
1070676.2619346925,0.0530546272502226,0.0026445500990923713,"(0, 0, 1)","(2, 0, 2, 0)",n
2105732.0160132577,0.040357931922463806,0.0032483353334314684,"(0, 0, 1)","(0, 0, 0, 0)",c
1818013.0317898318,0.04886405327740838,0.0033637046813964843,"(0, 0, 1)","(0, 0, 1, 0)",c
1394290.441832745,0.06393459544462317,0.003339716967414407,"(0, 0, 1)","(0, 0, 2, 0)",c
1995335.244974512,0.051482929902918195,0.003241266923792222,"(0, 0, 1)","(1, 0, 0, 0)",c
1762350.4670136971,0.08119627728181726,0.003392337350284352,"(0, 0, 1)","(1, 0, 1, 0)",c
1370474.4201086848,0.09179944431080538,0.003341983346378102,"(0, 0, 1)","(1, 0, 2, 0)",c
1842218.2897819055,0.08125748914830824,0.003329596799962661,"(0, 0, 1)","(2, 0, 0, 0)",c
13534237.909862053,0.4892146194682402,0.00335388464086196,"(0, 0, 1)","(2, 0, 1, 0)",c
1303286.6074686046,0.14516706747167252,0.003418731689453125,"(0, 0, 1)","(2, 0, 2, 0)",c
4487009.003790329,0.04481312807868509,0.003186284794526942,"(0, 0, 1)","(0, 0, 0, 0)",t
3450087.23563518,0.051667008680455824,0.0033530880423153146,"(0, 0, 1)","(0, 0, 1, 0)",t
2268869.277965157,0.06508978114408605,0.0033777769874123965,"(0, 0, 1)","(0, 0, 2, 0)",t
7907008.954642314,0.04504240260404699,0.0033304494969985062,"(0, 0, 1)","(1, 0, 0, 0)",t
4807782.104926336,0.0665705961339614,0.003382399502922507,"(0, 0, 1)","(1, 0, 1, 0)",t
2912147.5112008946,0.0898847355562098,0.00342866112204159,"(0, 0, 1)","(1, 0, 2, 0)",t
6484049.374530136,0.0704858050626867,0.003282476873958812,"(0, 0, 1)","(2, 0, 0, 0)",t
32665811.001656987,0.695770440382116,0.0034536277546602136,"(0, 0, 1)","(2, 0, 1, 0)",t
2891091.8337775343,0.14044159440433276,0.00342251272762523,"(0, 0, 1)","(2, 0, 2, 0)",t
2015083.2464509124,0.04835716976838953,0.0031526060665355007,"(0, 0, 1)","(0, 0, 0, 0)",ct
1757373.7299425928,0.05799443020540125,0.0033036063699161304,"(0, 0, 1)","(0, 0, 1, 0)",ct
1359473.9546740772,0.07474313062780044,0.0033254539265352135,"(0, 0, 1)","(0, 0, 2, 0)",ct
1975191.08691814,0.06344872923458324,0.003319731880636776,"(0, 0, 1)","(1, 0, 0, 0)",ct
1737149.5513612672,0.0905810412238626,0.003285985834458295,"(0, 0, 1)","(1, 0, 1, 0)",ct
1351282.6033438945,0.1037291218252743,0.003360420114853803,"(0, 0, 1)","(1, 0, 2, 0)",ct
1837900.14225769,0.09418715308694278,0.0032341844895306757,"(0, 0, 1)","(2, 0, 0, 0)",ct
12446508.919193195,0.5391638924093808,0.0033336358911850873,"(0, 0, 1)","(2, 0, 1, 0)",ct
1290586.7230988238,0.1625185209162095,0.0033637719995835247,"(0, 0, 1)","(2, 0, 2, 0)",ct
5443943.099969003,0.0702161564546473,0.002516642738791073,"(0, 0, 2)","(0, 0, 0, 0)",n
3805643.629437225,0.05200754333944882,0.002621757282930262,"(0, 0, 2)","(0, 0, 1, 0)",n
3516249.9908736506,0.051600077572990864,0.0026819425470688764,"(0, 0, 2)","(0, 0, 2, 0)",n
1074066.0703566484,0.048769934037152456,0.0023408973918241614,"(0, 0, 2)","(1, 0, 0, 0)",n
1075962.4747273938,0.08052936722250546,0.0023857677684110752,"(0, 0, 2)","(1, 0, 1, 0)",n
1075429.7494545686,0.08975302752326517,0.0023501199834487017,"(0, 0, 2)","(1, 0, 2, 0)",n
1074988.6052048225,0.07513352001414579,0.0023143459768856273,"(0, 0, 2)","(2, 0, 0, 0)",n
8854850.514977235,0.16241027327144847,0.0025465909172506895,"(0, 0, 2)","(2, 0, 1, 0)",n
1074604.9216697174,0.10609653416801901,0.002329352322746726,"(0, 0, 2)","(2, 0, 2, 0)",n
1618791.2859139321,0.04145917331471163,0.0033350243287927966,"(0, 0, 2)","(0, 0, 0, 0)",c
1394839.7990086426,0.06271637748269474,0.003381667417638442,"(0, 0, 2)","(0, 0, 1, 0)",c
1342298.4082164404,0.12000813203699448,0.003754772859461167,"(0, 0, 2)","(0, 0, 2, 0)",c
1565731.140157178,0.06463382384356331,0.0033243768355425665,"(0, 0, 2)","(1, 0, 0, 0)",c
1370408.9410986665,0.08789731474483714,0.003380006902358111,"(0, 0, 2)","(1, 0, 1, 0)",c
1328180.4955759193,0.14883434632245232,0.0034522617564481848,"(0, 0, 2)","(1, 0, 2, 0)",c
1475489.2438404516,0.11053525980781106,0.003349626765531652,"(0, 0, 2)","(2, 0, 0, 0)",c
9394502.35196965,0.6103051297804889,0.003451812968534582,"(0, 0, 2)","(2, 0, 1, 0)",c
1275591.6507631952,0.20612250215866987,0.003472266477697036,"(0, 0, 2)","(2, 0, 2, 0)",c
3085497.175851849,0.05967223223517923,0.0032843898324405444,"(0, 0, 2)","(0, 0, 0, 0)",t
2305168.9920283705,0.06318780674653894,0.0033279727487003103,"(0, 0, 2)","(0, 0, 1, 0)",t
1975280.3356016465,0.1306508456959444,0.0034392216626335593,"(0, 0, 2)","(0, 0, 2, 0)",t
4221270.070995231,0.057749156390919404,0.003336926067576689,"(0, 0, 2)","(1, 0, 0, 0)",t
2921557.35890901,0.08515583767610438,0.00335692798390108,"(0, 0, 2)","(1, 0, 1, 0)",t
2327532.47787169,0.1399932861328125,0.0034541045918184167,"(0, 0, 2)","(1, 0, 2, 0)",t
4210761.517610547,0.08957098792580998,0.003358919480267693,"(0, 0, 2)","(2, 0, 0, 0)",t
9.903191520697637e+16,0.9140088614295511,0.0034581717322854436,"(0, 0, 2)","(2, 0, 1, 0)",t
2322415.141304851,0.18799476062550263,0.0035065118004294,"(0, 0, 2)","(2, 0, 2, 0)",t
1567776.8070872498,0.04763696053448845,0.003201476265402401,"(0, 0, 2)","(0, 0, 0, 0)",ct
1362626.4831621342,0.07126977022956399,0.003292235206155216,"(0, 0, 2)","(0, 0, 1, 0)",ct
1318169.4389182143,0.1363040335038129,0.0034180304583381203,"(0, 0, 2)","(0, 0, 2, 0)",ct
1546772.880443325,0.07603673934936524,0.00330658239476821,"(0, 0, 2)","(1, 0, 0, 0)",ct
1354137.6944656714,0.09919786172754624,0.003289921143475701,"(0, 0, 2)","(1, 0, 1, 0)",ct
1313151.0341523986,0.1688981533050537,0.0034467164207907285,"(0, 0, 2)","(1, 0, 2, 0)",ct
1471098.9277740426,0.12124123292810776,0.003307611802045037,"(0, 0, 2)","(2, 0, 0, 0)",ct
